frame,kart,g28,g2A,g2C,g2E,g30,gE00,gE02,g124,g126,f16,f1A,f22,f24,fAE,f10,f12,f18,f1C,f1F,f26,f28,f2A,f60,fA0,fA2,fA4,fA6,fA8,fAA,fAC,fAE,fB0,fB2,fB4,fC2,fC4,fCA,fD6,fDE,fE0,fE2,fE4,fEA,fFA,fFC,fE8,fEE,fB8
14,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
15,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
15,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
16,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
16,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
17,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
17,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
18,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
18,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
19,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
19,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
20,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
20,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
21,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
21,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
22,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
22,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
23,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
23,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
24,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
24,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
25,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
25,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
26,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
26,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
27,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
27,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
28,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
28,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
29,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
29,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
30,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
30,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
31,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
31,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
32,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
32,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
33,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
33,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
34,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
34,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
35,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
35,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
36,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
36,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
37,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
37,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
38,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
38,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
39,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
39,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
40,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
40,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
41,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
41,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
42,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
42,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
43,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
43,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
44,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
44,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
45,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
45,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
46,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
46,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
47,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
47,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
48,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
48,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
49,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
49,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
50,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
50,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
51,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
51,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
52,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
52,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
53,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
53,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
54,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
54,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
55,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
55,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
56,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
56,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
57,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
57,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
58,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
58,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
59,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
59,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
60,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
60,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
61,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
61,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
62,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
62,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
63,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
63,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
64,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
64,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
65,1000,0,0,4,2,2,0,0,7,2,0,0,0,0,64,32768,0,928,572,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,256,0,0,0,64,0,0,0,0,0,0,0,0,26624
65,1100,0,0,4,2,2,0,0,7,2,0,0,0,0,0,0,2,56,176,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,26688
